|Unnamed: 0|Unnamed: 0.1|id|type|date|abstract|title|kind|num_claims|withdrawn|aia
4389|4187071|4624697|8137037|utility|2012-03-20|A tool for removing burrs detects whether the depths of holes (81, 82, 83) made on a work (W) are prescribed depths or not. The tool (30) for removing burrs includes a tool case (31) and a piston (3) stored to move to and fro in the tool case. The piston has a spindle (12) arranged at its leading end. A judging section (61) judges whether the depth of the hole is normal or not, based on the results of the detection of whether the piston is retracted relatively to the tool case by a piston position detecting mechanism (56) and those of the detection of existence of the tool case by the tool case position detecting means (32).|Tool for removing burr|B2|2|0.0|0
151|3178387|3616013|7124028|utility|2006-10-17|The transmission method utilizes multiple seismic acquisition units within an array as intermediate short range radio receivers/transmitters to pass collected seismic data in relay fashion back to a control station. Any one seismic unit in the array is capable of transmitting radio signals to several other seismic units positioned within radio range of the transmitting unit, thus allowing the system to select an optimal transmission path. Utilizing an array of seismic units permits transmission routes back to a control station to be varied as needed. In transmissions from the most remote seismic unit to the control station, each unit within a string receives seismic data from other units and transmits the received seismic data along with the receiving unit's locally stored seismic data. Preferably, as a transmission is passed along a chain, it is bounced between seismic units so as to be relayed by each unit in the array.|Method and system for transmission of seismic data|B2|49|0.0|1
10557|1151841|6258910|9780910|utility|2017-10-03|The digital video communications device includes a scalable video coding (SVC) controller including an encoder and associated block equalizer. The encoder is configured to receive digital video, and encode received digital video into a plurality of related streams including a base layer having a first modulation type, and scaled enhancement layers having different modulation types. The block equalizer is configured to generate a waveform by sequentially interleaving the plurality of related streams with equalizer probes. The digital video transmission approach allows the receiver to automatically provide the best video quality that the channel will support without negotiation with the transmitter.|Systems and methods for multiple stream encoded digital video|B2|23|0.0|0
5105|272555|710181|4203111|utility|1980-05-13| A radar device such as the type which uses a non-constantly scanning radar antenna including a circuit arrangement for reducing interference due to ground reflection wherein an interference value is subtracted from the sampled received signal and wherein the interference value is obtained by recursively calculating from the sampled values with the use of a recursion factor which changes during the sampling sequence so as to reduce interference due to ground reflections and allow the detections of objects which are moving slowly in the radial direction. |Radar device including a circuit arrangement for reducing interference|A|2|0.0|0
9860|624384|5731453|9249888|utility|2016-02-02|A gate valve includes a valve body with a flow passage intersected by a gate cavity. The gate valve also includes a gate with a gate body. The gate body has a downstream gate body face, and an upstream gate body face on an opposite side of the gate body. A seat ring is located between each gate body face and the valve body, at the intersection of the flow passage and the gate cavity. Each seat ring has a seat ring face proximate to the gate. At least one removable insert is located between one of the seat ring faces and one of the gate body faces. The insert is removably coupled to one of the faces and formed of a material harder and more wear resistant as compared to the gate body and the seat ring.|Non-welded hardface gate and seats|B2|20|0.0|0
7372|2613346|3050972|6556982|utility|2003-04-29|A data analysis and classification system that reads the electronic information, analyzes the electronic information according to a user-defined set of logical rules, and returns a classification result. The data analysis and classification system may accept any form of computer-readable electronic information. The system creates a hash table wherein each entry of the hash table contains a concept corresponding to a word or phrase which the system has previously encountered. The system creates an object model based on the user-defined logical associations, used for reviewing each concept contained in the electronic information in order to determine whether the electronic information is classified. The data analysis and classification system extracts each concept in turn from the electronic information, locates it in the hash table, and propagates it through the object model. In the event that the system can not find the electronic information token in the hash table, that token is added to a missing terms list. If any rule is satisfied during propagation of the concept through the object model, the electronic information is classified.|Method and system for analyzing and classifying electronic information|B1|50|0.0|0
9359|1214544|6321613|9844044|utility|2017-12-12|The present invention relates to a method for a terminal to receive an enhanced physical downlink control channel (EPDCCH) from a based station in a wireless communication system. More particularly, the method includes the steps of defining a first number of enhanced resource element groups (EREGs) for each resource block for the EPDCCH, and monitoring EPDCCH candidates consisting of one or more enhanced control channel elements (ECCEs) in resource blocks and receiving the EPDCCH, wherein each of the one or more ECCEs consists of a second number of EREGs, and indexes of the second number of EREGs are determined to be intervals of the number of ECCEs for each resource block.|Method for forming resource block for search region in downlink control channel in wireless communication system, and apparatus therefor|B2|10|0.0|0
8702|969847|6076916|9597594|utility|2017-03-21|Provided is a method for controlling a computer, etc., which makes it possible to improve the usability of city building games. The computer is provided with a storage unit configured to store game contents arranged within a game space, positions of the game contents, and a template defining positions of one or more of game contents, and progresses a game by arranging the game contents within the game space based on a command by a player. The method includes when the template is applied to a predetermined area within the game space based on the command by the player, moving, by the computer, the game contents arranged within the game space to the positions of the game contents defined by the template.|Computer control method, control program and computer|B2|20|0.0|1
5718|1809279|2246905|5747673|utility|1998-05-05| A containment cell with two chambers (7) in a thermostat-controlled enclosure (3) is used to measure separately, at determined pressure levels, the volumes occupied separately by fluid phases, prior to measuring at the same pressures the volume occupied by the mixture thereof, so as to deduce therefrom the excess volume (v.sup.E) and the density of the mixture. By minimizing an error function (F) that takes account of volume quantities, such as the excess volume (v.sup.E) or the density of the mixture, and of phase equilibrium data of the mixture such as the saturation pressures (Psat), these data being determined from said cell, it is possible to determine with precision the coefficients of the equation of state relating the thermodynamic parameters of the mixture (P, V, T) and thereby to fine down for example reservoir models. The method can be applied for study of petroleum fluids for example. |Method for measuring with great precision the volume variation occurring when fluid phases mix in order to determine physico-chemical characteristics|A|9|0.0|0
8742|344227|5451296|8967937|utility|2015-03-03|A modular storage bin sweep system utilizing paddles to sweep particulate matter across a floor may comprise a sweep assembly including at least two units connectable together. The assembly may comprise a plurality of interconnected paddles, a power unit configured to the paddles, a drive unit configured to move the sweep assembly with respect to a surface of the bin below the sweep assembly. In some embodiments, a traction enhancement structure may increase traction of the drive unit on the floor. In some embodiments, a pivot unit is configured to permit a degree of pivotability of the axes of the units with respect to each other, and may be combined with a drive unit. In some embodiments, the power unit includes a rotary electrical power transfer structure configured to transfer electrical power to the power unit when rotating in the bin.|Modular storage bin sweep system|B2|28|0.0|1
